,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
786,GCA_000222545.2,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. H112180283,,homo sapiens,,,,patient with bloody diarrhea (bd),,,Generic,True,
787,GCA_000222525.2,Escherichia coli O104:H4 str. H112180540 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. H112180540,,homo sapiens,,,,patient with bloody diarrhea (bd),,,Generic,True,
788,GCA_000222525.2,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. H112180540,,homo sapiens,,,,patient with bloody diarrhea (bd),,,Generic,True,
793,GCF_000217695.1,Escherichia coli O104:H4 str. TY-2482 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. TY-2482,,homo sapiens,,,,stool sample from patient with hemolytic uremic syndrome (hus),,,Generic,True,
794,GCF_000217695.1,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. TY-2482,,homo sapiens,,,,stool sample from patient with hemolytic uremic syndrome (hus),,,Generic,True,
795,GCF_000221885.1,Escherichia coli O104:H4 str. TY-2482 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. TY-2482,,homo sapiens,,,,stool sample from patient with hemolytic uremic syndrome (hus),,,Generic,True,
796,GCF_000221885.1,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. TY-2482,,homo sapiens,,,,stool sample from patient with hemolytic uremic syndrome (hus),,,Generic,True,
815,GCF_000234235.1,Escherichia coli O113:H21 str. CL-3 Genome Sequencing,,,Sample from Escherichia coli O113:H21 str. CL-3,,homo sapiens,,,,patient with hemolytic uremic syndrome (hus),,,Generic,True,
844,GCF_000234255.2,Escherichia coli O91:H21 str. B2F1 Genome Sequencing,,,Sample from Escherichia coli O91:H21 str. B2F1,,homo sapiens,,,,patient with hemolytic uremic syndrome (hus),,,Generic,True,
885,GCA_011526515.1,Microfluidic droplet co-cultivation of human gut microbes,,,Bacterial MAG recovered from co-growth in microfluidic droplet,,homo sapiens,,,,feces from healthy female,,,MIMAG.human-gut,True,
952,GCF_000013585.1,Human-specific pathogen that causes endemic dysentery,,,Sample from Shigella flexneri 5 str. 8401,,,,,,epidemic,,,Generic,True,
995,GCA_002811105.1,Shigella sonnei strain:4351 Genome sequencing and assembly,,,Shigella sonnei 4351,,homo sapiens,,,,derived from a feces isolated pathogen shigella sonnei strain,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",True,
1006,GCA_004328985.1,Shigella sonnei strain:LC1477/18 Genome sequencing and assembly,,,Shigella sonnei ESBL-producer from Italy,,homo sapiens,,,Bloody diarrhea,stools,,,Pathogen.cl,True,
1161,GCF_000695115.1,Escherichia coli non-O157 Genome sequencing,,,Escherichia coli O26:H11 str. 97-3250 clinical isolate,,,,,,homo sapiens,,,"Microbe, viral or environmental",True,
1162,GCF_000695135.1,Escherichia coli non-O157 Genome sequencing,,,Escherichia coli O103:H2 str. PMK-5 clinical isolate,,,,,,homo sapiens,,,"Microbe, viral or environmental",True,
1169,GCF_000749565.1,Escherichia coli O91:H21 Genome sequencing,,,Shiga-Toxin Producing Escherichia coli O91:H21 From HUS patient Canada 1985,,homo sapiens,,,Hemolytic Uremic Syndrome,hus patient,,,Pathogen.cl,True,
1230,GCF_000776045.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1231,GCF_000776135.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1232,GCF_000776255.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1233,GCF_000776355.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1234,GCF_000777285.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1235,GCF_000777325.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1236,GCF_000777355.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1237,GCF_000777375.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1238,GCF_000777535.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1239,GCF_000777675.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1240,GCF_000777735.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1241,GCF_000778285.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1242,GCF_000778315.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1243,GCF_000778545.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1244,GCF_000778635.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1245,GCF_000778745.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1246,GCF_000778965.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1247,GCF_000779005.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1248,GCF_000779155.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1249,GCF_000779175.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1250,GCF_000779475.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1251,GCF_000779655.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1252,GCF_000779955.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1253,GCF_000780035.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1254,GCF_000780075.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1255,GCF_000780355.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1256,GCF_000780535.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1257,GCF_000780555.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1258,GCF_000780715.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1259,GCF_000780895.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1260,GCF_000780965.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1261,GCF_000781075.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1262,GCF_000781115.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1263,GCF_000781145.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1264,GCF_000781255.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1265,GCF_000781275.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1266,GCF_000781435.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
1267,GCF_000781735.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1268,GCF_000781755.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1269,GCF_000781775.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1270,GCF_000781915.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1271,GCF_000781955.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1272,GCF_000782015.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1273,GCF_000782075.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1274,GCF_000782095.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1275,GCF_000782115.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1276,GCF_000782275.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
1892,GCF_000512625.1,Escherichia coli E1777 Genome sequencing and assembly,,,Sample from Escherichia coli E1777,,homo sapiens,,,,fecal sample of diarrhea patient,,,Generic,True,
1893,GCF_000415485.1,Escherichia coli E2265 Genome sequencing and assembly,,,Sample from Escherichia coli E2265,,homo sapiens,,,,stool sample from patient,,,Generic,True,
2187,GCF_000692755.1,Carbapenem,,,Sample from Escherichia coli MGH 57,,homo sapiens,,,,wound abscess,,,Generic,True,
2188,GCF_000692755.1,Carbapenem Resistance,,,Sample from Escherichia coli MGH 57,,homo sapiens,,,,wound abscess,,,Generic,True,
2263,GCF_000350005.1,Escherichia coli O104:H4 str. E112/10 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. E112/10,,homo sapiens,,,,stool sample from a 45-year old female patient suffering from diarrhea after traveling in tunisia,,,Generic,True,
2264,GCF_000350005.1,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. E112/10,,homo sapiens,,,,stool sample from a 45-year old female patient suffering from diarrhea after traveling in tunisia,,,Generic,True,
2265,GCF_000353545.1,Escherichia coli O104:H4 str. E92/11 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. E92/11,,homo sapiens,,,,stool sample from a female patient suffering from hus,,,Generic,True,
2266,GCF_000353545.1,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. E92/11,,homo sapiens,,,,stool sample from a female patient suffering from hus,,,Generic,True,
2435,GCF_000403965.1,Escherichia coli O91 Genome Sequencing from asymptomatic patient,,,Sample from Escherichia coli O91,,homo sapiens,,,,asymptomatic patient,,,Generic,True,
2436,GCF_000403985.1,Escherichia coli O91 Genome sequencing and assembly,,,Sample from Escherichia coli O91,,homo sapiens,,,,symptomatic patient,,,Generic,True,
2695,GCF_000482045.1,Escherichia coli SCD1 Genome sequencing and assembly,,,Sample from Escherichia coli SCD1,,,,,,healthy human stool samples,,,Generic,True,
2705,GCF_000397505.1,Escherichia coli Genome sequencing and assembly,,,Generic sample from Escherichia coli TOP2386,,homo sapiens,,,Recurrent UTI,Urine,,Urine,Generic,True,
2706,GCF_000397725.1,Escherichia coli Genome sequencing and assembly,,,Generic sample from Escherichia coli TOP2386,,homo sapiens,,,Recurrent UTI,Urine,,Urine,Generic,True,
2707,GCF_000397525.1,Escherichia coli Genome sequencing and assembly,,,Generic sample from Escherichia coli TOP2396-1,,homo sapiens,,,Recurrent UTI,Feces,,Feces,Generic,True,
2708,GCF_000397605.1,Escherichia coli Genome sequencing and assembly,,,Generic sample from Escherichia coli TOP2522-1,,homo sapiens,,,Recurrent UTI,Feces,,Feces,Generic,True,
2710,GCF_000692815.1,Carbapenem,,,Sample from Escherichia coli UCI 53,,homo sapiens,,,,"aspirate, biliary drain",,,Generic,True,
2711,GCF_000692815.1,Carbapenem Resistance,,,Sample from Escherichia coli UCI 53,,homo sapiens,,,,"aspirate, biliary drain",,,Generic,True,
2830,GCF_000467205.1,Shigella sonnei 1DT-1 Genome sequencing and assembly,,,Sample from Shigella sonnei 1DT-1,,homo sapiens,,,,descending colon,,,Generic,True,
2831,GCF_000782555.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
2832,GCF_000782595.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
2833,GCF_000782795.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,bacteremia,blood from patient with bacteremia,,,Pathogen.cl,True,
2835,GCF_000785325.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,urinary tract infection,patient with urinary tract infection,,,Pathogen.cl,True,
2896,GCF_000806175.1,Escherichia coli strain:MAMC18 Genome sequencing and assembly,,,Pathogen: Escherichia coli O146,,homo sapiens,,,E.coli gastroenteritis,stool from 1 year old male with acute diarrhea,,,Pathogen.cl,True,
2898,GCF_000806245.1,Escherichia coli Genome sequencing and assembly,,,CE549,,homo sapiens,,,diarrhea,fecal sample of diarrhea patient,,,Pathogen.cl,True,
2899,GCF_000806255.1,Escherichia coli Genome sequencing and assembly,,,E2265,,homo sapiens,,,diarrhea,fecal sample of diarrhea patient,,,Pathogen.cl,True,
2900,GCF_000806265.1,Escherichia coli Genome sequencing and assembly,,,E1777,,homo sapiens,,,diarrhea,fecal sample of diarrhea patient,,,Pathogen.cl,True,
2901,GCF_000806275.1,Escherichia coli Genome sequencing and assembly,,,CE516,,homo sapiens,,,diarrhea,fecal sample of diarrhea patient,,,Pathogen.cl,True,
2906,GCF_000812645.1,Escherichia coli strain:ST167 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,missing,abdominal wound,,,Pathogen.cl,True,
2907,GCF_000812645.1,CDC HAI-Seq,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,missing,abdominal wound,,,Pathogen.cl,True,
2908,GCF_000812645.1,CDC DHQP Seq,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,missing,abdominal wound,,,Pathogen.cl,True,
3020,GCF_000981065.1,Escherichia coli strain:ST-44 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Na,na,,,Pathogen.cl,True,
3021,GCF_000981065.1,CDC HAI-Seq,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Na,na,,,Pathogen.cl,True,
3022,GCF_000981065.1,CDC DHQP Seq,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Na,na,,,Pathogen.cl,True,
3138,GCF_001014795.2,The Genome sequencing and assembly of Escherichia spp.,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Pancreatitis,abdominal drainage,,,Pathogen.cl,True,
3372,GCF_001276265.1,Bacteria Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Cystic fibrosis,lungs of cystic fibrosis patient c,,,Pathogen.cl,True,
3402,GCF_000986765.1,"Multi-strain, long-read bacterial genome sequencing",,,Sample from Escherichia coli O104:H4 str. C227-11,,homo sapiens,,,,stool sample from a 64-year-old woman from hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (hus),,,Generic,True,
3403,GCF_000986765.1,Multi-species bacterial DNA sequencing in support of DNA methylation binning and plasmid mapping in metagenomic samples,,,Sample from Escherichia coli O104:H4 str. C227-11,,homo sapiens,,,,stool sample from a 64-year-old woman from hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (hus),,,Generic,True,
3407,GCF_001027225.1,Shigella boydii strain:ATCC 9210 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Shigella boydii,,homo sapiens,,,Dysentery,cases of diarrhea,,,Pathogen.cl,True,
4321,GCF_001509665.1,Escherichia coli  genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,plasma cell leukemia,nasal fester cultures,,,Pathogen.cl,True,
4323,GCF_001509715.1,Escherichia coli  genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,plasma cell leukemia,nasal fester cultures,,,Pathogen.cl,True,
4324,GCF_001509735.1,Escherichia coli  genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,plasma cell leukemia,nasal fester cultures,,,Pathogen.cl,True,
4325,GCF_001509745.1,Escherichia coli  genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,plasma cell leukemia,nasal fester cultures,,,Pathogen.cl,True,
4358,GCF_001571665.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Crohn's Disease,crohn's disease patient gut tissue biopsy,,,Pathogen.cl,True,
4359,GCF_001571685.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Crohn's Disease,crohn's disease patient gut tissue biopsy,,,Pathogen.cl,True,
4785,GCF_001644175.1,Escherichia coli strain:BJ10 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,rectal cancer with liver metastases,liver ascites,,,Pathogen.cl,True,
